Latitude;Longitude;Elevation (metres);Distance (KMs);sin_A
-12.43064;130.85412;27.1;4.966;0.011842
-12.430345;130.854745;28;5.042;-0.018667
-12.43005;130.85537;26.6;5.117;-0.028571
-12.42991;130.85566;25.6;5.152;-0.029787
-12.42973;130.85605;24.2;5.199;-0.026984
-12.42949;130.85657;22.5;5.262;-0.02439
-12.42933;130.85691;21.5;5.303;-0.033333
-12.42929;130.85702;21.1;5.315;-0.033898
-12.42907;130.85751;19.1;5.374;-0.0060606
-12.42894;130.85778;18.9;5.407;-0.0025974
-12.428645;130.85842;18.7;5.484;0.018182
-12.42835;130.85906;20.1;5.561;-0.0063158
-12.42799;130.85986;19.5;5.656;0
-12.42798;130.85989;19.5;5.66;-0.0092593
-12.42778;130.86034;19;5.714;-0.031034
-12.427445;130.861065;16.3;5.801;-0.0034483
-12.42711;130.86179;16;5.888;0.018919
-12.42697;130.8621;16.7;5.925;0.015
-12.4269;130.86227;17;5.945;0
-12.42684;130.8624;17;5.961;0.0034483
-12.42675;130.86265;17.1;5.99;0.01
-12.42669;130.86283;17.3;6.01;0.0055556
-12.42665;130.86299;17.4;6.028;0.017391
-12.4266;130.86319;17.8;6.051;0.016667
-12.42657;130.8633;18;6.063;0.02
-12.42656;130.86334;18.1;6.068;0.015385
-12.42653;130.86358;18.5;6.094;0
-12.42653;130.86361;18.5;6.097;0
-12.42652;130.86371;18.5;6.108;0
-12.4265;130.86388;18.5;6.127;-0.0038462
-12.42647;130.86412;18.4;6.153;0.0076923
-12.42642;130.86447;18.7;6.192;0.01875
-12.4264;130.86462;19;6.208;0.018367
-12.42629;130.86506;19.9;6.257;0
-12.42629;130.86507;19.9;6.259;0.0076923
-12.42625;130.86519;20;6.272;0.0044444
-12.42611;130.86558;20.2;6.317;0.014667
-12.42585;130.86621;21.3;6.392;0.0175
-12.42572;130.86655;22;6.432;0
-12.42571;130.86658;22;6.435;0.017647
-12.42565;130.86672;22.3;6.452;0.017391
-12.42559;130.86693;22.7;6.475;0.013333
-12.42556;130.86706;22.9;6.49;0.033333
-12.42552;130.86719;23.4;6.505;0.033333
-12.42546;130.86743;24.3;6.532;0.032
-12.42541;130.86766;25.1;6.557;0.026316
-12.42538;130.86783;25.6;6.576;0.030435
-12.42535;130.86804;26.3;6.599;0.03125
-12.42533;130.86818;26.8;6.615;0.030769
-12.42532;130.8683;27.2;6.628;0.026667
-12.42531;130.86844;27.6;6.643;0.0071429
-12.4253;130.86857;27.7;6.657;0
-12.42529;130.86871;27.7;6.672;0
-12.42528;130.86907;27.7;6.711;0.0021739
-12.42527;130.86949;27.8;6.757;0
-12.42527;130.86958;27.8;6.767;0
-12.42527;130.86981;27.8;6.792;-0.0047619
-12.42526;130.87;27.7;6.813;-0.0043478
-12.42526;130.87043;27.5;6.859;-0.0071429
-12.42526;130.87056;27.4;6.873;0.014286
-12.42526;130.87062;27.5;6.88;0.0086207
-12.42525;130.871155;28;6.938;0
-12.42524;130.87169;28;6.996;0.0087719
-12.425225;130.87221;28.5;7.053;0.010714
-12.42521;130.87273;29.1;7.109;0
-12.42521;130.87279;29.1;7.116;0.012644
-12.4252;130.873595;30.2;7.203;0.0090909
-12.42519;130.8744;31;7.291;0
-12.42518;130.875075;31;7.364;0.013514
-12.42517;130.87575;32;7.438;0.01875
-12.42517;130.8759;32.3;7.454;0.0045455
-12.42517;130.8763;32.5;7.498;0
-12.42517;130.87677;32.5;7.549;0
-12.42516;130.87711;32.5;7.586;0.0089744
-12.42515;130.87783;33.2;7.664;0
-12.42516;130.87785;33.2;7.666;0.017391
-12.42515;130.87806;33.6;7.689;0.020253
-12.425137;130.87878;35.2;7.768;0.0064103
-12.425123;130.8795;35.7;7.846;-0.017949
-12.42511;130.88022;34.3;7.924;-0.030189
-12.4251;130.880705;32.7;7.977;0.0075472
-12.42509;130.88119;33.1;8.03;0.0015385
-12.425085;130.881795;33.2;8.095;-0.0075758
-12.42508;130.8824;32.7;8.161;-0.0015385
-12.425095;130.883;32.6;8.226;-0.0045455
-12.42511;130.8836;32.3;8.292;0.018571
-12.425157;130.88425;33.6;8.362;-0.0014085
-12.425203;130.8849;33.5;8.433;-0.0014085
-12.42525;130.88555;33.4;8.504;-0.0053571
-12.42529;130.88606;33.1;8.56;0
-12.42533;130.88657;33.1;8.615;0.0031579
